Country,GDP,Population,Male_Life_Expectancy,Female_Life_Expectancy,CO2
United States,20600.0,331.0,76.3,81.3,4761.3
Uruguay,59.6,3.47,73.9,81.3,5.9
Uzbekistan,50.5,33.5,69.4,73.6,81.2
Vanuatu,0.889,0.307,68.8,71.9,N/A
Vatican City,N/A,N/A,N/A,N/A,N/A
Venezuela,208.0,28.4,68.4,76.1,113.7
Vietnam,245.0,97.3,71.2,79.4,191.2
Wallis and Futuna,N/A,0.012,72.8,78.7,N/A
Western Sahara,N/A,0.597,68.2,71.9,N/A
Yemen,26.7,29.8,64.4,67.7,8.9
Zambia,27.3,18.4,60.3,66.2,6.0
Zimbabwe,24.3,14.9,59.2,62.2,9.7
